store,Sum of longitude,Sum of latitude
"McDonalds-Anaheim,CA",-471.673064,135.270725
"McDonalds-Antioch,CA",-121.78578,37.9888
"McDonalds-Arcadia,CA",-236.08088,68.28653
"McDonalds-Arden Arcade,CA",-121.38454,38.59566
"McDonalds-Arvin,CA",-118.832953,35.2093
"McDonalds-Ashland,CA",-122.11124,37.69328
"McDonalds-Auburn,CA",-242.15179,77.86438
"McDonalds-Bakersfield,CA",-1904.667235,565.643899
"McDonalds-Baldwin Park,CA",-117.97844,34.07049
"McDonalds-Barstow,CA",-116.99933,34.8912
"McDonalds-Beaumont,CA",-116.975059,33.929375
"McDonalds-Bell Gardens,CA",-118.16422,33.96798
"McDonalds-Bellflower,CA",-118.15086,33.87489
"McDonalds-Benicia,CA",-244.342478,76.136501
"McDonalds-Berkeley,CA",-244.56501,75.75459
"McDonalds-Big Bear Lake,CA",-116.898639,34.243585
"McDonalds-Blue Jay,CA",-117.20844,34.24727
"McDonalds-Bonsall,CA",-117.22583,33.28988
"McDonalds-Brentwood,CA",-121.735505,37.925499
"McDonalds-Buena Park,CA",-117.99818,33.849
